abandon vt.丢弃；放弃
ability n.能力；能耐，本领
abnormal a.不正常的
aboard ad.在船(车)上；上船
abroad ad.(在)国外；到处
absence n.缺席不在场；缺乏
absent a.不在场的；缺乏的
absolute a.绝对的；纯粹的
absolutely ad.完全；绝对地
absorb vt.吸收；使专心
abstract a.抽象的 n.摘要
abundant a.丰富的；大量的
abuse vt.滥用；虐待 n.滥用
academic a.学院的；学术的
academy n.私立中学；专科
accelerate vt.(使)加快；促进
acceleration n.加速；加速度
accent n.口音，腔调；重音  
acceptable a.接受的，合意的
acceptance n.接受验收承认
access n.接近；通道，入口
accessory n.同谋，从犯
accident n.意外的；事故
accidental a.偶然的；非本质的

accommodate vt.容纳；供应，供给

accommodation n.招待设备；预定铺位

accompany vt.陪伴，陪同；伴随

accomplish vt.达到(目的)；完成

accord vt.使一致；给予
accordance n.一致；和谐；授予

accordingly ad.因此，所以；照着

account n.记述；解释；帐目
accumulate vt.积累 vi.堆积
accuracy n.准确(性)；准确度
accurate a.准确的，正确的
accuse vt.指责；归咎于
accustom vt.使习惯

accustomed a.惯常的；习惯的

achieve vt.完成，实现；达到
achievement n.完成；成就，成绩

acid n.酸；酸的，酸性的
acquaintance n.认识；了解；熟人

acquire vt.取得；获得；学到
acre n.英亩(=6.07亩)
act vi.行动；见效 n.行为
action n.行动；作用；功能
active a.活跃的；积极的
activity n.活动；活力；行动
actress n.女演员

actually ad.实际上；竟然
acute a.尖的，锐的；敏锐的
adapt vt.使适应；改编
add vt.添加，附加，掺加
addition n.加，加法；附加物
additional a.附加的，追加的
address n.地址；演说；谈吐
adequate a.足够的；可以胜任的

adjective n.形容词 a.形容词的

adjust vt.调整，调节；校正
administration n.管理；管理部门

admire vt.钦佩，羡慕，赞赏
admission n.允许进入；承认
admit vt.承认；准许…进入
adopt vt.收养；采用；采取
advance vi.前进；提高 n.进展
advanced a.先进的；高级的
advantage n.优点，优势；好处

adventure n.冒险；惊险活动
adverb n.副词

advertisement n.广告；登广告

advisable n.明智的；可取的
advise vt.劝告；建议；通知
aeroplane n.飞机

affair n.事情，事件；事务
affect vt.影响；感动

affection n.慈爱，爱；爱慕
afford vt.担负得起…；提供
African a.非洲的 n.非洲人
agency n.经办；代理；代理处

agent n.代理人，代理商
aggressive a.侵略的；好斗的
agony n.极度痛苦

agreement n.协定，协议；同意

agriculture n.农业，农艺；农学

aid n.帮助，救护；助手
aircraft n.飞机，飞行器
airline n.航空公司；航线
airplane n.飞机

airport n.机场，航空站
alarm n.惊恐，忧虑；警报
alcohol n.酒精，乙醇
allow vt.允许，准许；任
alloy n.合金；(金属的)成色
